"","target","Commercial_Construction_2017","Commercial_Construction_Permitted_Units_2016","Commercial_Construction_2015","Commercial_Construction_Permitted_Units_2015","Commercial_Construction_2013","Commercial_Construction_Permitted_Units_2013","Grocery_Proximate_Units_2018","Grocery_Proximate_Units_2016","Pharmacy_Proximate_Units_2016","New_Residential_Permit_Units_2016","New_Residential_2014"
"309",0.0685714285714286,0.15,4,0.29,2,0.44,3,122,163,127,0,0.58
"310",-0.154285714285714,10.54,22,2.34,6,6.64,17,457,505,509,0,0
"311",0.837142857142857,9.1,58,9.15,58,7.57,48,0,0,0,0,0
"312",0.288571428571429,1.54,22,1.94,19,1.43,14,1431,1102,1196,30,1.13
"313",0.00857142857142854,3.76,19,3.47,12,0.87,3,728,725,518,2,0.29
"314",0.871428571428572,12.75,185,16.03,132,12.15,100,863,1297,1010,4,43.5
"315",0.0628571428571429,1.2,8,0.48,2,0.48,2,0,0,0,2,0.96
"316",0,0.21,3,0.07,1,0.07,1,215,263,0,30,0.99
"317",0.402857142857143,3.03,18,3.23,16,1.61,8,279,173,0,94,42.94
"318",0.0657142857142857,1.72,13,0.74,6,2.7,22,0,0,0,1,0
"319",0.214285714285714,1.91,21,1.69,23,1.32,18,510,461,0,4,0
"320",0.0542857142857143,0.74,6,1.49,4,1.86,5,734,720,747,0,0
"321",0.271428571428571,3.45,23,4.02,14,3.44,12,17,22,441,0,0
"322",-1.29142857142857,11.76,64,6.29,46,8.34,61,675,1130,2766,122,0.68
"323",0.551428571428572,3.24,28,2.07,23,2.7,30,1044,1007,1007,0,0
"324",0.00571428571428577,2.13,9,2.13,7,0.61,2,123,151,0,0,0
"325",-3.31742580443438e-17,6.57,13,3.61,17,5.09,24,698,714,1059,8,1.06
"326",0.2,1.86,12,1.15,16,0.72,10,528,120,261,1,0
"327",0.0657142857142857,0.15,3,0.1,2,0.36,7,393,964,883,0,1.17
"328",0.0371428571428571,0.59,7,0.47,4,0.59,5,258,318,306,8,0.94
"329",0.0828571428571429,1.2,7,1.68,7,0.24,1,756,563,576,2,0
"330",-0.0457142857142857,0.61,0,0.5,5,0.4,4,367,281,324,20,0.61
"331",0.00857142857142857,0,4,0.19,2,0,0,74,3,62,1,2.59
"332",0.131428571428571,3.06,15,1.42,13,1.97,18,1130,886,1582,32,5.25
"333",0.0371428571428571,0.56,3,0.09,1,0.28,3,242,135,520,5,1.49
"334",0.0828571428571429,0.16,4,0.16,3,0.05,1,89,135,117,3,0.05
"335",-0.0885714285714286,2.64,33,4.87,24,2.44,12,1436,1036,1233,112,1.42
"336",-0.0714285714285714,0.69,13,1.38,6,0.69,3,0,0,0,18,2.3
"337",0.0457142857142857,7.93,6,1.46,9,0.49,3,823,495,1242,0,0
"338",2.26,57.28,139,42.89,149,30.8,107,1885,1208,1273,359,127.38
"339",0.0457142857142857,0.88,10,3.79,30,3.66,29,69,26,518,5,0.25
"340",0.00857142857142858,2.16,9,1.8,5,0.72,2,208,204,260,19,1.8
"341",0.0257142857142857,1.46,28,2.01,36,1.23,22,267,425,423,0,0
"342",0.297142857142857,6.79,34,2.52,10,0.75,3,515,206,473,34,41.46
"343",-0.0228571428571429,1.36,24,1.55,17,2.91,32,1098,460,627,0,0.18
"344",0.0828571428571429,1.88,2,1.5,4,2.62,7,0,0,731,11,1.5
"345",0.0628571428571429,0,0,0.18,1,0.18,1,0,0,0,0,0
"346",0.151428571428571,3.07,48,2.59,38,2.8,41,1187,2217,1145,115,2.18
"347",0.388571428571429,4.71,68,5.41,54,3.31,33,1714,1378,574,267,0
"348",0.808571428571429,0.51,6,0.51,2,2.29,9,490,371,139,4,2.29
"349",0.211428571428571,1.27,11,3.49,22,1.27,8,402,148,591,1,0
"350",0,0.07,1,0,0,0.02,1,0,0,0,28,0.42
"351",0.202857142857143,1.33,3,5.32,8,23.25,35,42,495,1021,0,139.74
"352",0.294285714285714,0.36,3,0.72,2,0.36,1,0,0,0,3,5.38
"353",0.337142857142857,1.23,19,2.76,18,2,13,642,558,533,11,2.15
"354",-0.0257142857142857,0.75,2,0.3,2,0,0,0,0,0,2,0
"355",0.0657142857142857,0.11,5,0,0,2.77,25,66,60,233,1,0
"356",0.0142857142857143,0,1,0.1,1,0.2,2,12,39,12,1,0.1
"357",0.105714285714286,0.73,7,1.71,7,2.2,9,490,533,551,1,0.98
"358",0.04,0.87,3,0.52,3,0.17,1,7,0,10,1,3.49
"359",0.04,0.07,3,0.29,4,0.15,2,256,146,128,25,1.67
"360",0.0285714285714286,0.27,9,0.6,9,0.27,4,153,179,170,7,0.54
"361",0.0342857142857143,0.36,7,0.36,4,0.09,1,422,385,431,6,0.27
"362",0.0257142857142857,0.54,9,0.7,7,0.6,6,298,311,311,9,1.81
"363",-0.0714285714285715,1.22,21,3.42,9,4.56,12,1,0,0,2,0.38
"364",0.108571428571429,8.23,40,0.96,5,1.15,6,0,0,0,4,0
"365",0.0257142857142857,0.05,6,0.15,3,0.25,5,0,0,4,5,0.05
"366",0.0371428571428572,0.17,2,0.08,1,0.17,2,0,0,3,1,0
"367",-0.0457142857142857,2.83,7,3.3,7,3.78,8,893,893,893,0,0
"368",-0.0228571428571429,0.58,2,0.15,1,0.29,2,308,331,325,11,0.15
"369",0.06,1.18,21,1.3,11,0.95,8,429,363,349,1,0
"370",-0.0142857142857143,0,1,0.18,1,0.18,1,0,0,0,6,0
"371",-0.00285714285714286,0.38,10,0.38,5,0.38,5,373,377,582,2,0.92
"372",0,0.14,0,0.14,1,0,0,0,0,0,31,7.04
"373",0.18,1.33,50,1.24,39,0.89,28,234,22,9,6,0.06
"374",-0.0142857142857143,0.07,2,0.07,2,0.1,3,24,30,14,61,1.58
"375",0.0914285714285714,0,1,0.18,2,0.9,10,337,333,356,3,0.54
"376",0.134285714285714,2.2,7,1.2,6,3.2,16,501,560,559,0,0
"377",0.0228571428571429,0.29,2,0.07,1,0,0,0,0,0,10,1.5
"378",0.0971428571428572,0.31,3,1.24,8,0.31,2,601,526,0,75,11.76
"379",0.00571428571428572,0.3,2,0.08,1,0,0,0,0,0,2,1.06
